URL,Score,Keywords Found,type_page,description,headline,datePublished,dateModified,author
https://www.bbc.co.uk/news/politics?page=5,2,['trans '],CollectionPage,,Politics | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/reality_check?page=16,2,['trans '],CollectionPage,,BBC Verify | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/magazine,1,['transgender'],CollectionPage,,Stories - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vglnnwt?page=36,2,"['trans ', 'transgender']",CollectionPage,,NHS - BBC News,,,[]
https://www.bbc.co.uk/news/uk?page=3,4,"['trans ', 'trans people']",CollectionPage,,UK | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/articles/cy545xpkr40o,4,['queer'],ReportageNewsArticle,The American singer is already an icon to some as she embarks on her UK tour.,Chappell Roan: Singer's Manchester concert was more than a pop show,2024-09-14T01:26:54.395Z,2024-09-14T01:26:54.395Z,[]
https://www.bbc.co.uk/news/topics/cp7r8vglnnwt?page=30,3,"['trans ', 'cass']",CollectionPage,,NHS - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cz4pr2gd872t?page=5,1,['cass'],CollectionPage,,Music - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cyqpx7l3eydt?page=8,11,"['trans ', 'non-binary', 'non-binary']",CollectionPage,,Broadcasting - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cyqpx7l3eydt?page=9,2,['gender identity'],CollectionPage,,Broadcasting - BBC News,,,[]
https://www.bbc.co.uk/news/england/somerset?page=18,1,['cass'],CollectionPage,,Somerset | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/c4y268p9ng6t?page=13,1,['cass'],CollectionPage,,"Porlock - Latest News, Headlines and Entertainment from the BBC",,,[]
https://www.bbc.co.uk/news/topics/cyqpx7l3eydt?page=19,1,['cass'],CollectionPage,,Broadcasting - BBC News,,,[]
https://www.bbc.co.uk/news/entertainment_and_arts?page=8,2,['queer'],CollectionPage,,Culture | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world/us_and_canada?page=15,2,['trans '],CollectionPage,,US & Canada | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/entertainment_and_arts?page=13,2,['cass'],CollectionPage,,Culture | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world/us_and_canada?page=21,2,['cass'],CollectionPage,,US & Canada | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cljev449493t?page=29,2,['cass'],CollectionPage,,Strictly Come Dancing - BBC News,,,[]
https://www.bbc.co.uk/news/world/asia/india?page=10,4,"['trans ', 'transgender']",CollectionPage,,India | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cz4pr2gd872t?page=31,1,['cass'],CollectionPage,,Music - BBC News,,,[]
https://www.bbc.co.uk/news/entertainment_and_arts?page=23,2,['cass'],CollectionPage,,Culture | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cx1m7zg01xyt?page=12,1,['trans '],CollectionPage,,United States - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cz4pr2gd872t?page=37,1,['cass'],CollectionPage,,Music - BBC News,,,[]
https://www.bbc.co.uk/news/topics/c86lem0v6e8t?page=39,13,"['trans ', 'non-binary', 'gender identity', 'non-binary']",CollectionPage,,BBC - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cx1m7zg01xyt?page=17,1,['cass'],CollectionPage,,United States - BBC News,,,[]
https://www.bbc.co.uk/news/world/us_and_canada?page=42,2,['transgender'],CollectionPage,,US & Canada | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world-us-canada-66478140,1,['queer'],ReportageNewsArticle,Prosecutors allege the murder of professional dancer O'Shae Sibley was an anti-gay hate crime.,"O'Shae Sibley: Suspect, 17, pleads not guilty to hate crime",2023-08-11T17:46:33.000Z,2023-08-11T19:27:45.000Z,[]
https://www.bbc.co.uk/news/world-us-canada-64946119,2,"['transgender', 'gender identity']",ReportageNewsArticle,"This year's data is incomplete, but shows incidents against Asians more than doubled.",US hate crimes jumped in 2021 - FBI,2023-03-14T19:48:59.000Z,2023-03-14T19:48:59.000Z,[]
https://www.bbc.co.uk/news/topics/cgmxjyd1e5wt?page=13,1,['cass'],CollectionPage,,"Wells - Latest News, Headlines and Entertainment from the BBC",,,[]
https://www.bbc.co.uk/news/topics/cx1m7zg01xyt?page=33,1,['transgender'],CollectionPage,,United States - BBC News,,,[]
https://www.bbc.co.uk/news/topics/c40rjmqdwr7t?page=7,1,['queer'],CollectionPage,,Television - BBC News,,,[]
https://www.bbc.co.uk/news/education?page=31,2,['transgender'],CollectionPage,,Family & Education | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/england/sussex?page=22,2,['trans '],CollectionPage,,Sussex | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/c40rjmqdwr7t?page=17,1,['trans '],CollectionPage,,Television - BBC News,,,[]
