URL,Score,Keywords Found,type_page,description,headline,datePublished,dateModified,author,byline,excerpt,lang
https://www.bbc.co.uk/sounds/play/w3ct67hy,2,trans people,webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",What in the World - How can you make award shows like the Oscars more diverse? - BBC Sounds,,,,,Award shows are often criticised for very white (and male) nominees and winners.,en-GB
https://www.bbc.co.uk/sounds/play/w3ct67fp,2,trans people,webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",What in the World - Why can't young people in South Africa find work? - BBC Sounds,,,,,Forty per cent of young people are unemployed,en-GB
https://www.bbc.co.uk/sounds/play/w3ct67dk,2,trans people,webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",What in the World - Does chess have a sexism problem? - BBC Sounds,,,,,Women in chess say they’ve faced discrimination and harassment,en-GB
https://www.bbc.co.uk/sounds/play/w3ct67cg,2,trans people,webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",What in the World - Who is left to oppose Putin now? - BBC Sounds,,,,,"Who are the voices criticising the Russian government, now that Alexei Navalny has died?",en-GB
https://www.bbc.co.uk/sounds/play/w3ct67gt,2,trans people,webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",What in the World - What’s it like inside El Salvador’s mega-jail? - BBC Sounds,,,,,"President Bukele's crackdown on gang violence has led to 75,000 arrests",en-GB
https://www.bbc.co.uk/news/articles/cz7445r8xkgo,4.514630747793776,"gender-based, gender-",webpage,"Campaigners say the kits, which contain personal alarms and spare phones, could save lives.",Emergency kit helps people escaping gender-based violence - BBC News,,,,Jasmine Ketibuah-Foley,"Campaigners say the kits, which contain personal alarms and spare phones, could save lives.",en-GB
https://www.bbc.co.uk/news/uk-63810284,1.2239609624768635,"gender-based, gender-",webpage,"Families of three women, each killed by an abusive partner, tell the BBC how their loved ones were let down.",Violence against women: The families demanding change - BBC News,,,,Lucy Manning and Simon Lister,"Families of three women, each killed by an abusive partner, tell the BBC how their loved ones were let down.",en-GB
https://www.bbc.co.uk/sounds/play/w3ct585c,1,transgender,webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",Dear Daughter - Healing letters - BBC Sounds,,,,,"The 'Queen of Letters', Isabel Allende, on writing, processing grief and a full garage",en-GB
https://www.bbc.co.uk/news/entertainment-arts-56294399,3.3839105735752244,gender-,webpage,There are times when the film rises above its laboured script to recapture some of the wit of the original.,Coming 2 America: Will Gompertz reviews sequel starring Eddie Murphy ★★☆☆☆ - BBC News,,,,Will Gompertz,There are times when the film rises above its laboured script to recapture some of the wit of the original.,en-GB
https://www.bbc.co.uk/news/uk-politics-48380610,6,gender-,webpage,When Theresa May became prime minister in July 2016 she identified seven burning injustices.,Theresa May: Did she solve her seven burning injustices? - BBC News,,,,Rachel Schraer,When Theresa May became prime minister in July 2016 she identified seven burning injustices.,en-GB
