0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/sunday-with-laura-kuenssberg-bbc-one-21-april-2024
Sunday with Laura  Kuenssberg,BBC News  Channel,21/04/2024,Controversial claim  by guest  uncontested x5,Resolved,https://www.bbc.co.uk/contact/ecu/politics-live-bbc-two-19-february-2024
Politics Live,BBC Two,09/02/2024,Controversial claim  about Hamas,Not upheld,https://www.bbc.co.uk/contact/ecu/eurovision-song-contest-grand-final-bbc-one-11-may-2024
News,BBC News  Channel,12/03/2024,Offence to Irish  people,Not upheld,https://www.bbc.co.uk/contact/ecu/a-mayor-for-greater-manchester-bbc-one-north-west-25-april-2024-0
Eurovision Song Contest  Grand Final,BBC One,11/05/2024,Overly sexualised  performance x3,Not upheld,https://www.bbc.co.uk/contact/ecu/have-i-got-news-for-you-bbc-one-5-april-2024
A Mayor for Greater  Manchester,BBC One (North  West),25/04/2024,Bias towards  incumbent,Not upheld,https://www.bbc.co.uk/contact/ecu/a-dentists-life-radio-4-13-april-2024
Have I Got News for You,BBC One,05/04/2024,Anti-Government  bias,Not upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-6pm-bbc-one-19-december-2023
The Context,BBC News  Channel,19/02/2024,Inaccuracy/bias on  trans breast milk,Partly upheld/  resolved,https://www.bbc.co.uk/contact/ecu/bbc-wales-general-election-debate-bbc-one-wales-21-june-2024
A Dentist’s Life,Radio 4,13/04/2024,Omitted key aspects  of crisis in NHS  dentistry,Not upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-1pm-bbc-one-9-april-2024
Blue Lights,BBC One,22/04/2024,Encouraged  imitation of  dangerous behaviour,Not upheld,https://www.bbc.co.uk/contact/ecu/the-nine-bbc-scotland-3-april-2024
BBC News (6pm),BBC One,19/12/2023,Misleading about  gravity of traffic  incident,Not upheld,
BBC Wales General  Election Debate,BBC One Wales,21/06/2024,Wrong to exclude  Greens,Not upheld,
BBC News (1pm),BBC One,09/04/2024,Negative impression  of Conservatives,Not upheld,
The Nine,BBC Scotland,03/04/2024,Reference to “Israeli  airstrike” was  misleading,Not upheld,
News,BBC News  Channel,01/03/2024,Coverage of Navalny  funeral endangered  mourners,Not upheld,
