0,1,2,3,4
News (1pm),Radio 4,11/11/2023,Pro-Israeli bias,Not upheld
BBC News (10pm),BBC One,23/10/2023,Pro-Israeli bias,Not upheld
Question Time,BBC One,23/11/2023,Right-wing bias,Not upheld
The Now Show,Radio 4,03/11/2023,Pro-Palestinian bias,Not upheld
The Context,BBC News  Channel,17/10/2023,Inaccuracy about Al  Ahli Hospital blast x3,Resolved
1Xtra Talks,Radio 1Xtra,12/11/23,Crude sexual  references,Not upheld
File on 4,Radio 4,24/10/23,Objection to  contributor with  disreputable history,Not upheld
The Haunter of the Dark,Radio 4,07/11/2023,Anti-Brexit bias,Not upheld
5 Live Breakfast,Radio 5 Live,14/10/2023,Objection to guest  who had posted  offensive tweet,Not upheld
Today,Radio 4,12/10/2023,Anti-trans bias,Not upheld
BBC News (6pm),BBC One,10/10/2023,Anti-Israeli bias,Not upheld
The World at One,Radio 4,03/11/2023,Pro-Israeli bias,Not upheld
The World at One,Radio 4,27/09/2023,Bias against Ken  Loach,Not upheld
The Food Programme,Radio 4,26/11/2023,Anti-Israeli bias,Not upheld
Today,Radio 4,11/08/2023,Pro-Israeli bias,Not upheld
5 Live Breakfast,Radio 5 Live,02/12/2023,Pro-Israeli bias,Not upheld
Breakfast,BBC One,11/08/2023,Anti-government  bias,Not upheld
Strictly Come Dancing,BBC One,Various,Inappropriate  interactions with  member of studio  audience,Not upheld
Trail for RuPaul’s Drag  Race UK,BBC One,Various,Offence to religious  feeling,Not upheld
Politics Wales,BBC One Wales,01/10/2023,Unfair to Member of  Welsh Senedd x4,Not upheld
Today,Radio 4,11/12/2023,Inaccuracy about  public sector pay,Not upheld
