0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/charles-iiithe-coronation-year-bbc-one-26-december-2023
Charles III; The  Coronation Year,BBC One,26/12/2023,Bias in favour of the  Monarchy x12,Not Upheld,https://www.bbc.co.uk/contact/ecu/news-bbc-news-channel-27-october-2023
News,BBC News  Channel,27/10/2023,Anti-Israel bias,Not Upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-6pm-bbc-one-1-december-2023
News (6pm),BBC One,1/12/2023,Inaccurate account  of ceasefire  breakdown,Not Upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-1700-bbc-news-channel-14-november-2023
News,BBC News  Channel,14/11/2023,Pro-Palestinian bias,Not Upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-news-channel11-january-2024
News (6pm),BBC One,27/10/2023,Overly explicit  account of Brianna  Ghey case,Not Upheld,https://www.bbc.co.uk/contact/ecu/news-600pm-radio-4-19-january-2024
News,BBC News  Channel,11/01/2024,Bias in favour of  Israel in coverage of  ICJ hearings x 8,Not Upheld,https://www.bbc.co.uk/contact/ecu/sunday-with-laura-kuenssberg-bbc-one-21-january-2024
News (6pm),Radio 4,19/01/2023,Misrepresentation of  CEO’s salary,Not Upheld,https://www.bbc.co.uk/contact/ecu/today-radio-4-28-june-2023
Sunday with Laura  Kuenssberg,BBC One,21/01/2024,Anti-Labour bias,Not Upheld,https://www.bbc.co.uk/contact/ecu/today-bbc-radio-4-17-november-2023
Today,Radio 4,28/06/2023,Inaccurate claims in  interview on heat  pumps,Not Upheld,https://www.bbc.co.uk/contact/ecu/today-radio-4-22-august-2023
Today,Radio 4,17/11/2023,Lack of impartiality  on Gaza,Not Upheld,https://www.bbc.co.uk/contact/ecu/bbc-breakfast-bbc-one-29-january-2024
Today,Radio 4,22/08/2023,Lack of impartiality  on trans issue,Part Upheld,
Sunday with Laura  Kuenssberg,BBC One,3/12/2023,Offensive remark  about old people,Not Upheld,
Breakfast,BBC One,29/01/2024,Misleading item  about pavement  parking,Not Upheld,
