0,1,2,3,4
The World At One,Radio 4,15/06/2023,Pro Conservative  bias,Not Upheld
Andrew Tate: The  Interview,BBC iPlayer,,Bias against Andrew  Tate,Not Upheld
Today,Radio 4,13/06/2023,Lack of due  impartiality on  abortion court case,Not Upheld
Question Time,BBC One,22/06/2023,Pro Brexit Bias x 2,Not Upheld
Conspiracyland Uk?,BBC News  Channel,22/06/2023,Inaccurate portrayal  of article written by  complainant,Not Upheld
History’s Secret Heroes,Radio 4,21/06/2023,Inaccurate claim the  Nazis persecuted  Trans people,Not Upheld
Today,Radio 4,26/07/2023,Bias against Nigel  Farage,Not Upheld
The Daily Global,BBC News  Channel,4/07/2023,Insufficient apology  for 'blood libel'  against Jewish  Government,Resolved
Politics Live,BBC Two,17/04/2023,Misrepresentation of  RCN view on pay  offer,Resolved
Panorama: Private ADHD  Clinics Exposed,BBC One,15/05/2023,Breach of privacy  and unfair portrayal,Not Upheld
Politics Live,BBC Two,12/06/2023,Offence to  contributor in  debate on legal  definition of “sex”,Not Upheld
Test Match Special,Radio 4   LW,1/07/2023,Offensive comment  about umpire,Not Upheld
BBC London News,BBC One  (London),9/6/2023,Unauthorised use of  complainant’s image,Not Upheld
