0,1,2,3,4,Matched URL
The World At One,Radio 4,15/06/2023,Pro Conservative  bias,Not Upheld,https://www.bbc.co.uk/contact/ecu/the-world-at-one-radio-4-15-june-2023
Andrew Tate: The  Interview,BBC iPlayer,,Bias against Andrew  Tate,Not Upheld,https://www.bbc.co.uk/contact/ecu/andrew-tate-the-interview-bbc-iplayer
Today,Radio 4,13/06/2023,Lack of due  impartiality on  abortion court case,Not Upheld,https://www.bbc.co.uk/contact/ecu/today-radio-4-13-june-2023
Question Time,BBC One,22/06/2023,Pro Brexit Bias x 2,Not Upheld,https://www.bbc.co.uk/contact/ecu/question-time-bbc-one-22-june-2023
Conspiracyland Uk?,BBC News  Channel,22/06/2023,Inaccurate portrayal  of article written by  complainant,Not Upheld,https://www.bbc.co.uk/contact/ecu/conspiracyland-uk-bbc-news-channel-22-june-2023
History’s Secret Heroes,Radio 4,21/06/2023,Inaccurate claim the  Nazis persecuted  Trans people,Not Upheld,https://www.bbc.co.uk/contact/ecu/historys-secret-heroes-radio-4-21-june-2023
Today,Radio 4,26/07/2023,Bias against Nigel  Farage,Not Upheld,https://www.bbc.co.uk/contact/ecu/today-radio-4-26-july-2023
The Daily Global,BBC News  Channel,4/07/2023,Insufficient apology  for 'blood libel'  against Jewish  Government,Resolved,https://www.bbc.co.uk/contact/ecu/the-daily-global-bbc-news-channel-4-july-2023
Politics Live,BBC Two,17/04/2023,Misrepresentation of  RCN view on pay  offer,Resolved,https://www.bbc.co.uk/contact/ecu/politics-live-bbc-two-17-april-2023
Panorama: Private ADHD  Clinics Exposed,BBC One,15/05/2023,Breach of privacy  and unfair portrayal,Not Upheld,
Politics Live,BBC Two,12/06/2023,Offence to  contributor in  debate on legal  definition of “sex”,Not Upheld,
Test Match Special,Radio 4   LW,1/07/2023,Offensive comment  about umpire,Not Upheld,
BBC London News,BBC One  (London),9/6/2023,Unauthorised use of  complainant’s image,Not Upheld,
