0,1,2,3,4
Good Ship BrewDog,BBC Sounds,(Series),"Unfair, biased and  misleading",Not upheld
More or Less,Radio 4,13/02/2022,Unsuitable  contributor on trans  inclusion in women’s  sports,Not upheld
The One Show,BBC One,05/05/2022,Inappropriate book  recommendation,Not upheld
Question Time,BBC One,23/06/2022,Pro-Conservative  bias,Not upheld
Pointless,BBC One,18/06/2023,Objects to use of  “welching”,Not upheld
Today,Radio 4,24/02/2022,Wrong to report  unconfirmed claims,Not upheld
The World at One,Radio 4,04/07/2022,Presenter endorsed  guest’s anti-Brexit  views,Not upheld
News,BBC News  Channel,06/06/2022,False claim that PM  had lied to the  Queen,Not upheld
Politics Live,BBC Two,15/06/2022,False claim that PM  had broken the law,Not upheld
Inside Dubai: Playground  of the Rich,BBC Two,03/01/2022,Inaccuracy about  Emirates airline,Not upheld
