0,1,2,3,4,Matched URL
Good Ship BrewDog,BBC Sounds,(Series),"Unfair, biased and  misleading",Not upheld,https://www.bbc.co.uk/contact/ecu/good-ship-brewdog-bbc-sounds
More or Less,Radio 4,13/02/2022,Unsuitable  contributor on trans  inclusion in women’s  sports,Not upheld,https://www.bbc.co.uk/contact/ecu/more-or-less-bbc-radio-4-13-february-2022
The One Show,BBC One,05/05/2022,Inappropriate book  recommendation,Not upheld,https://www.bbc.co.uk/contact/ecu/question-time-bbc-one-23-june-2022
Question Time,BBC One,23/06/2022,Pro-Conservative  bias,Not upheld,https://www.bbc.co.uk/contact/ecu/today-radio-4-24-february-2022
Pointless,BBC One,18/06/2023,Objects to use of  “welching”,Not upheld,https://www.bbc.co.uk/contact/ecu/the-world-at-one-radio-4-4-july-2022
Today,Radio 4,24/02/2022,Wrong to report  unconfirmed claims,Not upheld,https://www.bbc.co.uk/contact/ecu/news-bbc-news-channel-6-june-2022
The World at One,Radio 4,04/07/2022,Presenter endorsed  guest’s anti-Brexit  views,Not upheld,https://www.bbc.co.uk/contact/ecu/politics-live-bbc-two-15-june-2022
News,BBC News  Channel,06/06/2022,False claim that PM  had lied to the  Queen,Not upheld,https://www.bbc.co.uk/contact/ecu/inside-dubai-playground-of-the-rich-bbc-two-3-january-2022
Politics Live,BBC Two,15/06/2022,False claim that PM  had broken the law,Not upheld,
Inside Dubai: Playground  of the Rich,BBC Two,03/01/2022,Inaccuracy about  Emirates airline,Not upheld,
