0,1,2,3,4
Programme,Service,Date of  Transmission,Issue,Outcome
Live coverage of Covid  Inquiry,BBC News  Channel,31/10/2023,Offensive language,Not upheld
PM,Radio 4,08/11/2023,Offensive language,Not upheld
The Context,BBC News  Channel,08/11/2023,Anti-Israeli bias,Not upheld
Newsnight,BBC Two,24/10/2023,Anti-Palestinian bias,Not upheld
Politics Live,BBC Two,01/11/2023,Inaccurate about  feelings of UK Jewish  community,Not upheld
Politics Live,BBC Two,01/11/2023,Inaccurate about  options for resolving  Gaza conflict,Not upheld
BBC News (10pm),BBC One,07/12/2023,Anti-Israeli bias,Not upheld
Today,Radio 4,18/10/2023,Anti-Israeli bias,Not upheld
Only Connect,BBC Two,27/11/2023,Pro-Israeli bias x2,Not upheld
News,BBC News  Channel,29/12/2023,Pro-Palestinian bias,Not upheld
Newsnight,BBC Two,19/09/2023,Anti-trans bias,Not upheld
