0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/the-context-bbc-news-channel-8-november-2023
Live coverage of Covid  Inquiry,BBC News  Channel,31/10/2023,Offensive language,Not upheld,https://www.bbc.co.uk/contact/ecu/newsnight-bbc-two-24-october-2023
PM,Radio 4,08/11/2023,Offensive language,Not upheld,https://www.bbc.co.uk/contact/ecu/politics-live-bbc-two-1-november-2023-0
The Context,BBC News  Channel,08/11/2023,Anti-Israeli bias,Not upheld,https://www.bbc.co.uk/contact/ecu/politics-live-bbc-two-1-november-2023
Newsnight,BBC Two,24/10/2023,Anti-Palestinian bias,Not upheld,https://www.bbc.co.uk/contact/ecu/today-bbc-radio-4-18-october-2023
Politics Live,BBC Two,01/11/2023,Inaccurate about  feelings of UK Jewish  community,Not upheld,https://www.bbc.co.uk/contact/ecu/only-connect-bbc-two-27-november-2023-and-4-december-2023
Politics Live,BBC Two,01/11/2023,Inaccurate about  options for resolving  Gaza conflict,Not upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-bbc-news-channel-29-december-2023
BBC News (10pm),BBC One,07/12/2023,Anti-Israeli bias,Not upheld,https://www.bbc.co.uk/contact/ecu/newsnight-bbc-two-19-december-2023
Today,Radio 4,18/10/2023,Anti-Israeli bias,Not upheld,
Only Connect,BBC Two,27/11/2023,Pro-Israeli bias x2,Not upheld,
News,BBC News  Channel,29/12/2023,Pro-Palestinian bias,Not upheld,
Newsnight,BBC Two,19/09/2023,Anti-trans bias,Not upheld,
