0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/drivetime-radio-scotland-28-march-2024
Drivetime,Radio Scotland,28/03/2024,Bias in favour of NUJ  action,Upheld,https://www.bbc.co.uk/contact/ecu/news-bbc-news-channel-28-may-2024
News,BBC News  Channel,28/05/2024,Inappropriate  comment about  Nigel Farage x3,Resolved,https://www.bbc.co.uk/contact/ecu/today-radio-4-12-april-2024
Today,Radio 4,12/04/2024,Insufficient context  about civilian  casualties in Gaza,Not upheld,https://www.bbc.co.uk/contact/ecu/politics-live-bbc-two-23-may-2024
Politics Live,BBC Two,23/05/2024,Pro-Conservative  bias,Not upheld,https://www.bbc.co.uk/contact/ecu/politics-live-bbc-two-21-may-2024
Politics Live,BBC Two,21/05/2024,Failure to challenge  false claim,Not upheld,https://www.bbc.co.uk/contact/ecu/politics-live-bbc-two-30-may-2024
Politics Live,BBC Two,30/05/2024,Reform Party not  represented,Not upheld,https://www.bbc.co.uk/contact/ecu/eurovision-song-contest-grand-final-bbc-one-11-may-2024
File on 4,Radio 4,22/05/2024,Unfair criticism of  treatment for long  Covid,Not upheld,https://www.bbc.co.uk/contact/ecu/question-time-bbc-one-30-may-2024
Eurovision Song Contest,BBC One,11/05/2024,Objected to occult  elements in Irish  entry,Not upheld,https://www.bbc.co.uk/contact/ecu/predator-the-secret-scandal-of-j-pop-bbc-two-18-march-2024
Eurovision Song Contest,BBC One,11/05/2024,Objected to sexual  elements in UK entry,Not upheld,https://www.bbc.co.uk/contact/ecu/wales-today-bbc-one-wales-7-june-2024
Eurovision Song Contest,BBC One,11/05/2024,Misgendering by  presenter,Not upheld,https://www.bbc.co.uk/contact/ecu/nicky-campbell-bbc-radio-5-live-26-february-2024
Question Time,BBC One,30/05/2024,Objected to inclusion  of Nigel Farage,Not upheld,https://www.bbc.co.uk/contact/ecu/newsnight-bbc-two-3-april-2024
Predator: The Secret  Scandal of J-Pop,BBC Two,18/03/2024,Inaccuracy about  subject of  programme,Not upheld,https://www.bbc.co.uk/contact/ecu/question-time-leaders-special-bbc-one-28-june-2024
Wales Today,BBC One Wales,07/06/2024,Pro-Labour bias,Not upheld,
Nicky Campbell,Radio 5 Live,26/02/2024,Failure to challenge  interviewee,Not upheld,
Newsnight,BBC Two,03/04/2024,Bias against Israel,Not upheld,
Question Time Leaders’  Special,BBC One,28/06/2024,Bias against Nigel  Farage x20,Not upheld,
Talkback,Radio Ulster,31/05/2024,Disgusted by  interviewee’s  opinions,Not upheld,
