0,1,2,3,4
Programme,Service,Date of  Transmission,Issue,Outcome
News bulletins,Various,30/01/2023,Inaccurate  impression that  Scotgold Resources  had discovered new  vein of gold,Upheld
News,BBC News  Channel,23/02/2023,Undue prominence  for Starbucks,Upheld
Look East,BBC One (East),22/12/2022,Misleading about  proportion of ethnic  minorities applying  for higher education,Upheld
Question Time,BBC One,13/01/2023,Misleading  impression of NHS  spend by current  Government,Upheld
Britain’s Lost  Masterpieces,BBC Four,13/02/2023,“Sexist” reference to  “male gaze”,Not upheld
News bulletin,Radio 2,20/05/2023,Promoted trans  agenda,Not upheld
Trail for Our World,BBC News  Channel,14/05/2023,Pro-abortion bias,Not upheld
The News Quiz,Radio 4,26/05/2023,Offensive joke about  long Covid,Not upheld
Defenders UK,BBC One,24/01/2023,Unfair to Mop End  Farm,Not upheld
Good Morning Scotland,Radio Scotland,19/04/2023,Inaccuracy about  Nicola Sturgeon,Not upheld
BBC News promo,Various,08/04/2023,Promoted  appeasement of  Putin,Not upheld
Mornings,Radio Scotland,02/05/2023,Defamation of  Joanna Cherry MP,Not upheld
Countryfile,BBC Two,08/01/2023,Inaccuracy about  plans to introduce  beavers in Scotland,Not upheld
