0,1,2,3,4
Programme,Service,Date of  Transmission,Issue,Outcome
The World at One,Radio 4,20/02/2024,Impression of bias in  relation to Gaza,Upheld
EastEnders,BBC One,15/11/2023,Misleading  impression that  AATD is not serious,Not upheld
News coverage,BBC Scotland  services,25/03/2024,Pro-SNP bias,Not upheld
Marianna in  Conspiracyland,Radio 4,01/06 –  24/07/2023,Bias across whole  series,Not upheld
Have I Got a Bit More  News for You,BBC One,15/04/2024,Inappropriate use of  complainant’s image,Not upheld
News,BBC News  Channel,12/02/2024,Failure to challenge  false claim about  Hamas,Not upheld
Newsnight,BBC Two,15/02/2024,Pro-Israeli bias,Not upheld
The News Quiz,Radio 4,19/01/2024,Bias against Hamas,Not upheld
Casualty,BBC One,09/03/2024,Inaccuracy about  ongoing risk of Covid,Not upheld
Newsnight,BBC Two,18/03/2024,Audience for “meet  the people” item not  socially  representative,Not upheld
A Point of View,Radio 4,05/05/2024,Incitement to break  the law,Not upheld
PM,Radio 2,20/03/2024,Biased use of term  “gender-based”,Not upheld
Beyond Belief,Radio 4,12/02/2024,People of faith  ridiculed,Not upheld
Dragons’ Den,BBC One,08/02/2024,Contestant  demeaned by  Dragon,Not upheld
Verified Live (3pm &  4pm),BBC News  Channel,13/02/2024,Traumatic footage  when children might  be watching,Not upheld
Panorama: Trump: The  Sequel?,BBC One,04/03/2024,Anti-Trump bias,Not upheld
Today,Radio 4,30/04/2024,Anti-Truss bias,Not upheld
