0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/the-world-at-one-radio-4-20-february-2024
The World at One,Radio 4,20/02/2024,Impression of bias in  relation to Gaza,Upheld,https://www.bbc.co.uk/contact/ecu/eastenders-bbc-one-15-november-2023
EastEnders,BBC One,15/11/2023,Misleading  impression that  AATD is not serious,Not upheld,https://www.bbc.co.uk/contact/ecu/bbc-scotland-news-coverage-25-march-2024
News coverage,BBC Scotland  services,25/03/2024,Pro-SNP bias,Not upheld,https://www.bbc.co.uk/contact/ecu/marianna-in-conspiracyland-radio-4-12-23-june-2023
Marianna in  Conspiracyland,Radio 4,01/06 –  24/07/2023,Bias across whole  series,Not upheld,https://www.bbc.co.uk/contact/ecu/news-bbc-news-channel-12-february-2024
Have I Got a Bit More  News for You,BBC One,15/04/2024,Inappropriate use of  complainant’s image,Not upheld,https://www.bbc.co.uk/contact/ecu/newsnight-bbc-two-18-march-2024
News,BBC News  Channel,12/02/2024,Failure to challenge  false claim about  Hamas,Not upheld,https://www.bbc.co.uk/contact/ecu/the-news-quiz-radio-419-january-2024
Newsnight,BBC Two,15/02/2024,Pro-Israeli bias,Not upheld,https://www.bbc.co.uk/contact/ecu/casualty-bbc-one-9-march-2024
The News Quiz,Radio 4,19/01/2024,Bias against Hamas,Not upheld,https://www.bbc.co.uk/contact/ecu/newsnight-bbc-two-18-march-2024
Casualty,BBC One,09/03/2024,Inaccuracy about  ongoing risk of Covid,Not upheld,https://www.bbc.co.uk/contact/ecu/pm-radio-4-20-march-2024
Newsnight,BBC Two,18/03/2024,Audience for “meet  the people” item not  socially  representative,Not upheld,https://www.bbc.co.uk/contact/ecu/panorama-trump-the-sequel-bbc-one-4-march-2024
A Point of View,Radio 4,05/05/2024,Incitement to break  the law,Not upheld,https://www.bbc.co.uk/contact/ecu/today-radio-4-30-april-2024
PM,Radio 2,20/03/2024,Biased use of term  “gender-based”,Not upheld,
Beyond Belief,Radio 4,12/02/2024,People of faith  ridiculed,Not upheld,
Dragons’ Den,BBC One,08/02/2024,Contestant  demeaned by  Dragon,Not upheld,
Verified Live (3pm &  4pm),BBC News  Channel,13/02/2024,Traumatic footage  when children might  be watching,Not upheld,
Panorama: Trump: The  Sequel?,BBC One,04/03/2024,Anti-Trump bias,Not upheld,
Today,Radio 4,30/04/2024,Anti-Truss bias,Not upheld,
