0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/jeremy-vine-radio-2-2-february-2024
Jeremy Vine,Radio 2,02/02/2024,Bias on law relating  to asylum seekers,Partly Upheld,https://www.bbc.co.uk/contact/ecu/today-radio-4-25-january-2024-0
Today,Radio 4,25/01/2024,Unfair to TikTok,Resolved,https://www.bbc.co.uk/contact/ecu/today-radio-4-9-january-2024
Today,Radio 4,09/01/2024,Inaccurate  statements by Saudi  Ambassador,Not upheld,https://www.bbc.co.uk/contact/ecu/the-world-at-one-bbc-radio-4-15-february-2024
Question Time,BBC One,29/02/2024,Casual use of holy  names,Not upheld,https://www.bbc.co.uk/contact/ecu/sunday-with-laura-kuenssberg-bbc-one-3-march-2024
Today,Radio 4,26/02/2024,“Antisemitic”  comment by  presenter,Not upheld,https://www.bbc.co.uk/contact/ecu/breakfast-bbc-one-24-february-2024
The World at One,Radio 4,15/02/2024,Number of  antisemitic incidents  overstated,Not upheld,https://www.bbc.co.uk/contact/ecu/5-live-formula-1-radio-5-live-15-february-2024
Sunday with Laura  Kuennsberg,BBC One,03/03/2024,Failed to mention  Brexit as factor in UK  debt,Not upheld,https://www.bbc.co.uk/contact/ecu/question-time-bbc-one-14-march-2024
Breakfast,BBC One,24/02/2024,Anti-Government  bias,Not upheld,https://www.bbc.co.uk/contact/ecu/newswatch-bbc-news-channel-1-march-2024
5 Live Formula 1,Radio 5 Live,15/02/2024,Pundit had vested  interest,Not upheld,https://www.bbc.co.uk/contact/ecu/talkback-radio-ulster-29-february-2024
Question Time,BBC One,14/03/2024,Offensive and  inaccurate  comments by  panellist x3,Not upheld,https://www.bbc.co.uk/contact/ecu/news-11am-radio-scotland-9-february-2024
Today,Radio 4,07/03/2024,Offensive reference  to Chancellor of the  Exchequer,Not upheld,
Newswatch,BBC News  Channel,01/03/2024,Bias against gender- critical views,Not upheld,
EastEnders,BBC One,04/03/24,Harmful portrayal of  vulnerable group,Not upheld,
The Sunday Show,BBC One  Scotland,10/03/2024,Unwarranted  imputation of  Islamophobia,Not upheld,
Countryfile,BBC One,10/03/2024,Unduly prominent  branding,Not upheld,
Talkback,Radio Ulster,29/02/2025,Pro-Unionist bias,Not upheld,
EastEnders,BBC One,04 &  05/03/2024,Unfair portrayal of  Milton Keynes,Not upheld,
Dermot O’Leary,Radio 2,02/03/2024,Incitement to  violence,Not upheld,
News (11am),Radio Scotland,09/02/2024,Inaccuracy about  President Biden,Not upheld,
