0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/today-bbc-radio-4-7-december-2022
Today,Radio 4,07/12/2022,Tendentious  terminology about  abortion,Not upheld,https://www.bbc.co.uk/contact/ecu/just-one-thing-with-michael-mosley-bbc-radio-four-1-may-2023
Today,Radio 4,07/03/2023,"Unfair to Jordan  Gray, harmful to  trans community",Not upheld,https://www.bbc.co.uk/contact/ecu/news-10pm-bbc-one-7-february-2023
Just One Thing,Radio 4,08/03/2023,Misleading  information about  turmeric,Not upheld,https://www.bbc.co.uk/contact/ecu/interview-with-elon-musk-bbc-news-12-april-2023
BBC News (10pm),BBC One,07/02/2023,Failure to report  profiteering by BP,Not upheld,https://www.bbc.co.uk/contact/ecu/politics-live-bbc-two-14-march-2023
The James Hanson Show,Radio Bristol,14/04/2023,Bias against  Disclosure and  Barring Service,Not upheld,https://www.bbc.co.uk/contact/ecu/panorama-surviving-the-pay-squeeze-bbc-one-20-march-2023
News,BBC News,12/04/2023,Interviewer of Elon  Musk told lies,Not upheld,https://www.bbc.co.uk/contact/ecu/inside-health-radio-4-7-february-2023
Politics Live,BBC Two,14/03/2023,Failure to challenge  inaccurate claim by  MP,Not upheld,https://www.bbc.co.uk/contact/ecu/panorama-crisis-pregnancy-centres-uncovered-bbc-one-27-february-2023
News,BBC News,15/03/2023,Undue prominence  for Chat GPT,Not upheld,https://www.bbc.co.uk/contact/ecu/today-programme-bbc-radio-four-2-november-2022
Panorama: What’s Gone  Wrong with Our  Housing?,BBC One,27/03/2023,Undue prominence  for North Face,Not upheld,
Panorama: Surviving the  Pay Squeeze,BBC One,07/02/2023,Wrong to call UK a  rich country,Not upheld,
Inside Health,Radio 4,07/02/2023,Wrong to call UK a  rich country,Not upheld,
Panorama: Crisis  Pregnancy Centres  Uncovered,BBC One,27/02/2023,Bias against crisis  pregnancy centres,Not upheld,
Moment of Truth,Radio 5 Live,17/10/2022,Offensive language,Not upheld,
The Now Show,Radio 4,31/03/2023,Offensive to  Christians,Not upheld,
Today,Radio 4,02/11/2022,Misleading  references by  presenter to tweets  about him,Not upheld,
