0,1,2,3,4
Programme,Service,Date of  Transmission,Issue,Outcome
PM,Radio 4,29/05/2023,Insufficient challenge  to support for new  North Sea extraction  licenses,Partly upheld
Weather for the week  ahead,bbc.co.uk,,Inaccurate about  rainfall in Italy,Upheld
Only Connect,BBC Two,28/03/2023,Bias on theory of  evolution,Not upheld
Newsnight,BBC Two,07/08/2023,"Failure to identify  guest properly,  infringement of  privacy",Not upheld
Woman’s Hour,BBC Sounds,30/06/2023,Did not accurately  reproduce original  broadcast,Not upheld
The World at One,Radio 4,27/09/2023,Biased and  misleading interview  with Ken Loach,Not upheld
Call Jonathan Pie,Radio 4,26/09/2023,Offensive language,Not upheld
Breakfast,BBC One,14/09/2023,Pro-Government  bias on NHS,Not upheld
The World at One,Radio 4,21/09/23,Bias towards trans  activist agenda,Not upheld
