0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/pm-radio-4-29-may-2023
PM,Radio 4,29/05/2023,Insufficient challenge  to support for new  North Sea extraction  licenses,Partly upheld,https://www.bbc.co.uk/contact/ecu/weather-for-the-week-ahead-bbccouk
Weather for the week  ahead,bbc.co.uk,,Inaccurate about  rainfall in Italy,Upheld,https://www.bbc.co.uk/contact/ecu/only-connect-bbc-two-28-march-2023
Only Connect,BBC Two,28/03/2023,Bias on theory of  evolution,Not upheld,https://www.bbc.co.uk/contact/ecu/womans-hour-bbc-sounds-30-june-2023
Newsnight,BBC Two,07/08/2023,"Failure to identify  guest properly,  infringement of  privacy",Not upheld,https://www.bbc.co.uk/contact/ecu/the-world-at-one-radio-4-27-september-2023
Woman’s Hour,BBC Sounds,30/06/2023,Did not accurately  reproduce original  broadcast,Not upheld,https://www.bbc.co.uk/contact/ecu/breakfast-bbc-one-14-september-2023
The World at One,Radio 4,27/09/2023,Biased and  misleading interview  with Ken Loach,Not upheld,https://www.bbc.co.uk/contact/ecu/the-world-at-one-radio-4-21-september-2023
Call Jonathan Pie,Radio 4,26/09/2023,Offensive language,Not upheld,
Breakfast,BBC One,14/09/2023,Pro-Government  bias on NHS,Not upheld,
The World at One,Radio 4,21/09/23,Bias towards trans  activist agenda,Not upheld,
