0,1,2,3,4
Coverage of Bafta  Awards,BBC News  Channel,18/02/2025,Inappropriate  question by reporter,Resolved
Rick Stein’s Spain,BBC Two,25/09/2022,Slur on East Asian  people,Not upheld
Dougray Scott: Bringing  Football Home,BBC Scotland,11/02/2024,Inaccuracy about  origin of passing,Not upheld
The World at One,Radio 4,30/01/2024,Inaccuracy and pro- Israel bias,Not upheld
Fighting Talk,Radio 5 Live,10/02/2024,Ageist comment by  presenter,Not upheld
Today,Radio 4,28/02/2024,Sexually explicit  language,Not upheld
Six Nations Rugby Special,BBC Two,04/02/2024,Promotion of Apple  product,Not upheld
BBC News (10pm),BBC One,24/01/2024,Inaccuracy and anti- Russia bias,Not upheld
News,BBC News  Channel,17/12/2023,Baseless claim about  what Pope said,Not upheld
Question Time,BBC One,15/02/2024,Anti-SNP bias,Not upheld
Crimewatch Live,BBC One,13/03/2024,Complainant objects  to being named,Not upheld
Sunday with Laura  Kuenssberg,BBC One,21/01/2024,Anti-Labour bias,Not upheld
