0,1,2,3,4,Matched URL
Coverage of Bafta  Awards,BBC News  Channel,18/02/2025,Inappropriate  question by reporter,Resolved,https://www.bbc.co.uk/contact/ecu/coverage-of-bafta-awards-bbc-news-channel-18-february-2024
Rick Stein’s Spain,BBC Two,25/09/2022,Slur on East Asian  people,Not upheld,https://www.bbc.co.uk/contact/ecu/dougray-scott-bringing-football-home-bbc-scotland-11-february-2024
Dougray Scott: Bringing  Football Home,BBC Scotland,11/02/2024,Inaccuracy about  origin of passing,Not upheld,https://www.bbc.co.uk/contact/ecu/the-world-at-one-radio-4-30-january-2024
The World at One,Radio 4,30/01/2024,Inaccuracy and pro- Israel bias,Not upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-10pm-bbc-one-24-january-2024
Fighting Talk,Radio 5 Live,10/02/2024,Ageist comment by  presenter,Not upheld,https://www.bbc.co.uk/contact/ecu/news-bbc-news-channel-17-december-2023
Today,Radio 4,28/02/2024,Sexually explicit  language,Not upheld,https://www.bbc.co.uk/contact/ecu/question-time-bbc-one-15-february-2024
Six Nations Rugby Special,BBC Two,04/02/2024,Promotion of Apple  product,Not upheld,https://www.bbc.co.uk/contact/ecu/sunday-with-laura-kuenssberg-bbc-one-21-january-2024
BBC News (10pm),BBC One,24/01/2024,Inaccuracy and anti- Russia bias,Not upheld,
News,BBC News  Channel,17/12/2023,Baseless claim about  what Pope said,Not upheld,
Question Time,BBC One,15/02/2024,Anti-SNP bias,Not upheld,
Crimewatch Live,BBC One,13/03/2024,Complainant objects  to being named,Not upheld,
Sunday with Laura  Kuenssberg,BBC One,21/01/2024,Anti-Labour bias,Not upheld,
