0,1,2,3,4
Programme,Service,Date of  Transmission,Issue,Outcome
PM,Radio 4,03/11/2024,Pro-Israel bias,Not upheld
Reporting Scotland,BBC One  Scotland,29/01/2024,Misrepresentation of  Michael Gove,Not upheld
News,BBC News  Channel,11/01/2024,Bias in favour of  Israel in coverage of  ICJ hearings x 2,Not Upheld
Sunday with Laura  Kuenssberg,BBC One,17/12/2023,Inappropriate to  interview Baroness  Mone and her  husband,Not upheld
The Sunday Show,BBC One  Scotland,17/12.2024,Overstated the  potential saving from  abolishing free  prescriptions,Not upheld
The World at One,Radio 4,27/11/2024,Interviewee  incorrectly termed  “Professor”,Not upheld
Time for Some ‘LGBTea’,BBC Sounds,,Misleading language  about trans people,Not upheld
Charles III: The  Coronation Year,BBC One,26/12/2023,Bias in favour of the  Monarchy,Not Upheld
Verified Live,BBC News  Channel,05/02/2024,Inaccuracy about  Hamas attack on  Israel,Not upheld
Woman’s Hour,Radio 4,13/02/2024,Inaccuracy about  sexual violence by  Hamas,Not upheld
