0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/pm-bbc-radio-4-3-november-2023
PM,Radio 4,03/11/2024,Pro-Israel bias,Not upheld,https://www.bbc.co.uk/contact/ecu/reporting-scotland-bbc-one-scotland-29-january-2024
Reporting Scotland,BBC One  Scotland,29/01/2024,Misrepresentation of  Michael Gove,Not upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-news-channel11-january-2024
News,BBC News  Channel,11/01/2024,Bias in favour of  Israel in coverage of  ICJ hearings x 2,Not Upheld,https://www.bbc.co.uk/contact/ecu/sunday-with-laura-kuenssberg-bbc-one-17-december-2023
Sunday with Laura  Kuenssberg,BBC One,17/12/2023,Inappropriate to  interview Baroness  Mone and her  husband,Not upheld,https://www.bbc.co.uk/contact/ecu/the-sunday-show-bbc-one-scotland-17-december-2023
The Sunday Show,BBC One  Scotland,17/12.2024,Overstated the  potential saving from  abolishing free  prescriptions,Not upheld,https://www.bbc.co.uk/contact/ecu/world-at-one-radio-4-27-november-2023
The World at One,Radio 4,27/11/2024,Interviewee  incorrectly termed  “Professor”,Not upheld,https://www.bbc.co.uk/contact/ecu/time-for-some-lgbtea-bbc-sounds
Time for Some ‘LGBTea’,BBC Sounds,,Misleading language  about trans people,Not upheld,https://www.bbc.co.uk/contact/ecu/charles-iiithe-coronation-year-bbc-one-26-december-2023
Charles III: The  Coronation Year,BBC One,26/12/2023,Bias in favour of the  Monarchy,Not Upheld,https://www.bbc.co.uk/contact/ecu/verified-live-bbc-news-channel-5-february-2024
Verified Live,BBC News  Channel,05/02/2024,Inaccuracy about  Hamas attack on  Israel,Not upheld,https://www.bbc.co.uk/contact/ecu/womans-hour-radio-4-13-february-2024
Woman’s Hour,Radio 4,13/02/2024,Inaccuracy about  sexual violence by  Hamas,Not upheld,
