0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/the-now-show-radio-4-2-december-2022
The Now Show,Radio 4,02/12/2022,Christianity singled  out for mockery,Not upheld,https://www.bbc.co.uk/contact/ecu/any-questions-radio-4-11-november-2022
Any Questions,Radio 4,11/11/2022,EU referendum  result  misrepresented,Not upheld,https://www.bbc.co.uk/contact/ecu/reporting-scotland-bbc-one-scotland-24-january-2022
Reporting Scotland,BBC One  Scotland,24/01/2022,Inaccuracy about Isla  Bryson’s gender x2,Not upheld,https://www.bbc.co.uk/contact/ecu/pm-radio-4-16-november-2022
PM,Radio 4,16/11/2022,Invalid extrapolation  of inflation rate,Not upheld,https://www.bbc.co.uk/contact/ecu/politics-live-bbc-two-23-january-2023
Politics Live,BBC Two,23/01/2023,Inaccuracy about  ULEZ and air quality,Not upheld,https://www.bbc.co.uk/contact/ecu/india-the-modi-question-bbc-two-17-24-january-2023
Sort Your Life Out,BBC One,01/02/2023,Bad example to  rabbit-owners x6,Not upheld,https://www.bbc.co.uk/contact/ecu/analysis-radio-4-7-november-2022
India: The Modi Question,BBC Two,17/01/2022,Bias against India  and Hindus x4,Not upheld,https://www.bbc.co.uk/contact/ecu/bbc-wales-investigates-bbc-one-wales-16-january-2023
Analysis,Radio 4,07/11/2022,Inaccurate to  describe UK as one  of the richest  countries,Not upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-6pm-bbc-one-5-january-2023
BBC Wales Investigates,BBC One Wales,16/01/2023,Misleading  impression of Welsh  Rugby Union,Not upheld,https://www.bbc.co.uk/contact/ecu/newsline-bbc-one-northern-ireland-24-january-2023
BBC News (6 & 10pm),BBC One,23/12/2022,Irresponsible for  reporter with a cold  to report from a  hospital,Not upheld,
BBC News (6pm),BBC One,05/01/2023,Biased towards Royal  Family,Not upheld,
Newsline,BBC One  Northern  Ireland,24/01/2023,Biased reference to  “Derry”,Not upheld,
