0,1,2,3,4
Programme,Service,Date of  Transmission,Issue,Outcome
Moneybox,Radio 2,26/11/2020,Inaccurate  impression of  research on earnings  of different ethnic  groups in the UK,Upheld
News (9am),BBC News  Channel,13/01/2023,Unchallenged claim  about the safety  record of Covid  vaccines,Resolved
Jeremy Vine,Radio 2,31/01/2023,Misleading about  status and policies of  the SNP,Resolved
PM,Radio 4,02/02/2023,Insufficient challenge  to attack on JK  Rowling,Resolved
Sunday with Laura  Kuenssberg,BBC One,15/01/2023,Anti-trans bias,Not upheld
Sunday with Laura  Kuenssberg,BBC One,22/01/2023,Anti-trans bias,Not upheld
Question Time,BBC One,16/02/2023,Pro-Conservative  bias,Not upheld
Today,Radio 4,16/02/2023,Failed to question  Chairman of British  Museum on strike  affecting the  museum,Not upheld
QI XL,BBC Two,17/02/2023,Inaccurate  pronunciation of  Japanese word,Not upheld
News (6pm),Radio 4,03/02/2023,Inaccuracy about  responsibility for  Amritsar massacre,Not upheld
The Media Show,Radio 4,08/02/2023,Disobliging comment   about Stop Funding  Hate,Not upheld
