0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/money-box-radio-4-26-november-2022
Moneybox,Radio 2,26/11/2020,Inaccurate  impression of  research on earnings  of different ethnic  groups in the UK,Upheld,https://www.bbc.co.uk/contact/ecu/news-900am-bbc-news-channel-13-january-2023
News (9am),BBC News  Channel,13/01/2023,Unchallenged claim  about the safety  record of Covid  vaccines,Resolved,https://www.bbc.co.uk/contact/ecu/jeremy-vine-radio-2-31-january-2023-and-related-tweet
Jeremy Vine,Radio 2,31/01/2023,Misleading about  status and policies of  the SNP,Resolved,https://www.bbc.co.uk/contact/ecu/pm-radio-4-2-february-2023
PM,Radio 4,02/02/2023,Insufficient challenge  to attack on JK  Rowling,Resolved,https://www.bbc.co.uk/contact/ecu/sunday-with-laura-kuenssberg-bbc-one-15-january-2023
Sunday with Laura  Kuenssberg,BBC One,15/01/2023,Anti-trans bias,Not upheld,https://www.bbc.co.uk/contact/ecu/sunday-with-laura-kuenssberg-bbc-one-22-january-2023
Sunday with Laura  Kuenssberg,BBC One,22/01/2023,Anti-trans bias,Not upheld,https://www.bbc.co.uk/contact/ecu/question-time-bbc-one-16-february-2023
Question Time,BBC One,16/02/2023,Pro-Conservative  bias,Not upheld,https://www.bbc.co.uk/contact/ecu/today-radio-4-16-february-2023
Today,Radio 4,16/02/2023,Failed to question  Chairman of British  Museum on strike  affecting the  museum,Not upheld,https://www.bbc.co.uk/contact/ecu/news-6pm-radio-4-3-february-2023
QI XL,BBC Two,17/02/2023,Inaccurate  pronunciation of  Japanese word,Not upheld,
News (6pm),Radio 4,03/02/2023,Inaccuracy about  responsibility for  Amritsar massacre,Not upheld,
The Media Show,Radio 4,08/02/2023,Disobliging comment   about Stop Funding  Hate,Not upheld,
