0,1,2,3,4
Programme,Service,Date of  Transmission,Issue,Outcome
News (6pm),Radio 3,24/05/2024,Biased headline on  ICJ ruling on Israel,Not Upheld
News (12pm),News Channel,3/03/2024,Unsubstantiated  claim Pakistan  election was rigged,Not Upheld
The World at One,Radio 4,4/06/2024,Failure to highlight  political leanings of  Fabian Society,Not Upheld
News (10pm),BBC One,12/03/2024,Misleading report on  Gaza casualties,Not Upheld
More or Less,Radio 4,20/04/2024,Biased account of  Cass report,Not Upheld
Reporting Scotland,BBC One  (Scotland),2/07/2024,Failure to report  response of Reform  candidate,Not Upheld
Seven Days,BBC Scotland,7/04/2024,Biased discussion on  arms sales to Israel,Not Upheld
Newsline,BBC Northern  Ireland,24/07/2024,Pro -Republican bias  x 2,Not Upheld
"News (6,7 & 8 am)",Radio 4,18/04/2024,Bias against Scottish  Government action  on climate change,Not Upheld
Business Today,News Channel,5/06/2024,Misleading headline  regarding Australian  GDP,Not Upheld
Mornings,Radio Scotland,2/07/2024,Biased interview  with SNP leader John  Swinney,Not Upheld
The Stephen Nolan Show,Radio Ulster,18/06/2024,Inaccurate reference  to programme  contributor,Not Upheld
