0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/news-6pm-radio-3-24-april-2024
News (6pm),Radio 3,24/05/2024,Biased headline on  ICJ ruling on Israel,Not Upheld,https://www.bbc.co.uk/contact/ecu/news-12pm-bbc-news-channel-3-march-2024
News (12pm),News Channel,3/03/2024,Unsubstantiated  claim Pakistan  election was rigged,Not Upheld,https://www.bbc.co.uk/contact/ecu/the-world-at-one-radio-4-4-june-2024
The World at One,Radio 4,4/06/2024,Failure to highlight  political leanings of  Fabian Society,Not Upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-10pm-bbc-one-12-march-2024
News (10pm),BBC One,12/03/2024,Misleading report on  Gaza casualties,Not Upheld,https://www.bbc.co.uk/contact/ecu/more-or-less-behind-the-stats-radio-4-20-april-2024
More or Less,Radio 4,20/04/2024,Biased account of  Cass report,Not Upheld,https://www.bbc.co.uk/contact/ecu/reporting-scotland-bbc-one-2-july-2024
Reporting Scotland,BBC One  (Scotland),2/07/2024,Failure to report  response of Reform  candidate,Not Upheld,https://www.bbc.co.uk/contact/ecu/seven-days-bbc-scotland-7-april-2024
Seven Days,BBC Scotland,7/04/2024,Biased discussion on  arms sales to Israel,Not Upheld,https://www.bbc.co.uk/contact/ecu/bbc-newsline-bbc-one-northern-ireland-24-july-2024
Newsline,BBC Northern  Ireland,24/07/2024,Pro -Republican bias  x 2,Not Upheld,https://www.bbc.co.uk/contact/ecu/news-6-7-8am-radio-4-18-april-2024
"News (6,7 & 8 am)",Radio 4,18/04/2024,Bias against Scottish  Government action  on climate change,Not Upheld,https://www.bbc.co.uk/contact/ecu/business-today-bbc-news-channel-5-june-2024
Business Today,News Channel,5/06/2024,Misleading headline  regarding Australian  GDP,Not Upheld,https://www.bbc.co.uk/contact/ecu/mornings-radio-scotland-2-july-2024
Mornings,Radio Scotland,2/07/2024,Biased interview  with SNP leader John  Swinney,Not Upheld,https://www.bbc.co.uk/contact/ecu/the-nolan-show-bbc-radio-ulster-18-june-2024
The Stephen Nolan Show,Radio Ulster,18/06/2024,Inaccurate reference  to programme  contributor,Not Upheld,
