0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/the-context-bbc-news-channel-19-february-2024
The Context,BBC News  Channel,19/02/2024,Inaccuracy/bias on  trans breast milk x2,Partly upheld/  resolved,https://www.bbc.co.uk/contact/ecu/the-context-bbc-news-channel-19-february-2024
Mornings,Radio Scotland,03/04/2024,Inaccuracy on  Scottish hate crime  legislation,Resolved,https://www.bbc.co.uk/contact/ecu/news-briefing-radio-4-25-march-2024
The Context,BBC News  Channel,01/03/2024,Offensive to women,Not upheld,https://www.bbc.co.uk/contact/ecu/today-radio-4-26-february-2024
News Briefing,Radio 4,25/03/2024,Bias against Russia,Not upheld,https://www.bbc.co.uk/contact/ecu/a-mayor-for-greater-manchester-bbc-one-north-west-25-april-2024
Panorama: NHS Patients  Going Private: What Are  the risks?,BBC One,08/04/2024,Inaccurate and  biased against  private medicine,Not upheld,https://www.bbc.co.uk/contact/ecu/sunday-with-laura-kuenssberg-bbc-one-10-march-2024
Today,Radio 4,26/02/2024,Misleading on  Palestinian support  for two-state  solution,Not upheld,https://www.bbc.co.uk/contact/ecu/breakfast-bbc-one-16-february-2024
A Mayor for Greater  Manchester,BBC One (North  West),25/04/2024,Bias against  independent  candidate x2,Not upheld,https://www.bbc.co.uk/contact/ecu/morning-live-bbc-one-28-february-2024
Sunday with Laura  Kuenssberg,BBC One,10/03/2024,Failure to challenge  statement by  contributor,Not upheld,https://www.bbc.co.uk/contact/ecu/today-radio-4-8-february-2024
Have I Got News for You,BBC One,19/04/2024,Homophobic  reference,Not upheld,https://www.bbc.co.uk/contact/ecu/today-bbc-radio-4-15-february-2024
Snooker World  Championship,BBC Two,04/2024,Undue prominence  for event sponsor,Not upheld,https://www.bbc.co.uk/contact/ecu/the-world-this-weekend-radio-4-7-january-2024
Breakfast,BBC One,16/02/2024,Bias against Reform  leader,Not upheld,https://www.bbc.co.uk/contact/ecu/today-radio-4-29-february-2024
Morning Live,BBC One,28/02/2024,Pro- wood burner  bias,Not upheld,
Today,Radio 4,08/02/2024,Inaccurate and  biased on climate  change,Not upheld,
Today,Radio 4,15/02/2024,Pro-Labour bias,Not upheld,
The World This Weekend,Radio 4,07/01/2024,False claim about  Hamas,Not upheld,
Today,Radio 4,29/02/2024,Bias in favour of  assisted dying,Not upheld,
