0,1,2,3,4,Matched URL
Sunday with Laura  Kuennsberg,BBC One,02/04/2023,Inaccuracy about  Suella Braverman’s  resignation,Not upheld,https://www.bbc.co.uk/contact/ecu/sunday-with-laura-kuenssberg-bbc-one-2-april-2023-0
Who Do You Think You  Are?,BBC One,01/06/2023,Inaccuracy about  Tudor history,Not upheld,https://www.bbc.co.uk/contact/ecu/who-do-you-think-you-are-bbc-one-1-june-2023
The World at One,Radio 4,26/05/2023,Trans women should  have been identified  as biological males,Not upheld,https://www.bbc.co.uk/contact/ecu/the-world-at-one-radio-4-26-may-2023
Question Time,BBC One,22/06/2023,Pro-Brexit bias,Not upheld,https://www.bbc.co.uk/contact/ecu/question-time-bbc-one-22-june-2023
1Xtra’s AfroSounds  Weekender,Radio 1Xtra,04/06/32023,Incitement to racial  hatred,Not upheld,https://www.bbc.co.uk/contact/ecu/wild-isles-bbc-one-2-april-2023
The Skewer,Radio 4,21/06/2023,Tragic event used for  humour,Not upheld,https://www.bbc.co.uk/contact/ecu/question-time-bbc-one-8-june-2023
Wild Isles,BBC One,02/04/2023,River Spey  misidentified as  River Ness,Not upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-6pm-bbc-one-22-may-2023
Question Time,BBC One,08/06/2023,Misleading  description of  referendum result,Not upheld,https://www.bbc.co.uk/contact/ecu/sliced-bread-radio-4-22-june-2023
BBC News (6pm),BBC One,22/05/2023,Misleading account  of costs of climate  change,Not upheld,https://www.bbc.co.uk/contact/ecu/look-east-bbc-one-east-4-april-2023
Sliced Bread,Radio 4,22/06/2023,Bias in favour of  cycle helmets,Not upheld,
Look East,BBC One (East),04/04/2023,Understated risks of  Covid compared to  flu,Not upheld,
The News Quiz,Radio 4,19/05/2023,Offensive to those  with long Covid,Not upheld,
