0,1,2,3,4
Programme,Service,Date of  Transmission,Issue,Outcome
The Context and related  items,BBC News  Channel,17/10/2023,Inaccuracy and bias  in reporting of Israel- Gaza conflict x2,Resolved/not  upheld
The Holy Land and Us:  Our Untold Stories,BBC Two,20/03/2023,Imbalance in  accounts of leaving  Palestine,Not upheld
BBC News (10pm),BBC One,28/08/2023,Pro-Palestinian bias,Not upheld
Various,Radio 6 Music,01/11/2021,Song encouraged  violence against  women x2,Not upheld
The Sunday Show,BBC One  Scotland,01/10/2023,Guest’s political  affiliations not made  clear,Not upheld
Politics Live,BBC Two,18/09/2023,Sources of IEA  funding not made  clear,Not upheld
Earth: Human,BBC Two,17/07/2023,Inaccuracy about  increase in global  temperatures,Not upheld
Politics Live,BBC Two,25/09/2023,Abusive comment  about men’s mental  health,Not upheld
Newsnight,BBC Two,09/10/2023,Offensive treatment  of interviewee,Not upheld
The World at One,Radio 4,21/09/2023,Endorsed trans  activist agenda,Not upheld
