0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/the-context-bbc-news-channel-17-october-2023-and-related-items
The Context and related  items,BBC News  Channel,17/10/2023,Inaccuracy and bias  in reporting of Israel- Gaza conflict x2,Resolved/not  upheld,https://www.bbc.co.uk/contact/ecu/the-context-bbc-news-channel-17-october-2023-and-related-items
The Holy Land and Us:  Our Untold Stories,BBC Two,20/03/2023,Imbalance in  accounts of leaving  Palestine,Not upheld,https://www.bbc.co.uk/contact/ecu/the-holy-land-and-us-our-untold-stories-bbc-two-20-march-2023
BBC News (10pm),BBC One,28/08/2023,Pro-Palestinian bias,Not upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-10pm-bbc-one-28-august-2023
Various,Radio 6 Music,01/11/2021,Song encouraged  violence against  women x2,Not upheld,https://www.bbc.co.uk/contact/ecu/the-sunday-show-bbc-one-scotland-1-october-2023
The Sunday Show,BBC One  Scotland,01/10/2023,Guest’s political  affiliations not made  clear,Not upheld,https://www.bbc.co.uk/contact/ecu/politics-live-bbc-two-18-september-2023
Politics Live,BBC Two,18/09/2023,Sources of IEA  funding not made  clear,Not upheld,https://www.bbc.co.uk/contact/ecu/earth-human-bbc-two-17-july-2023
Earth: Human,BBC Two,17/07/2023,Inaccuracy about  increase in global  temperatures,Not upheld,https://www.bbc.co.uk/contact/ecu/the-world-at-one-radio-4-21-september-2023-0
Politics Live,BBC Two,25/09/2023,Abusive comment  about men’s mental  health,Not upheld,
Newsnight,BBC Two,09/10/2023,Offensive treatment  of interviewee,Not upheld,
The World at One,Radio 4,21/09/2023,Endorsed trans  activist agenda,Not upheld,
