url,score,found_keywords,title,description,author,site_name,excerpt
https://www.bbc.co.uk/programmes/articles/3FQFSnx6SZWsQn3TJYYlFNy/information-a…,2,"trans , trans , trans, trans",BBC - Information and Support: Domestic Abuse,Information and Support for domestic abuse,,,Information and Support for domestic abuse
https://www.bbc.co.uk/programmes/articles/22VVM5LPrf3pjYdKqctmMXn/information-a…,2,"non-binary, gender , non-binary",BBC - Information and Support: Sexual Abuse and Violence,Information and support in relation to historic sex abuse investigation,,,Information and support in relation to historic sex abuse investigation
https://www.bbc.co.uk/programmes/articles/2vKrYBBq53H774bpPkVGLrM/information-a…,2,"transphobic, gender-, gender-based",BBC - Information and Support: Racism and racist hate crime,Information and Support for racism and racist hate crime,,,Information and Support for racism and racist hate crime
https://www.bbc.co.uk/programmes/articles/1nYWPTdMtKStFL2ztx1SV11/information-a…,7,"trans , transgender, trans people, gender identity, gender , gender , gender , gender , trans, gender identity, gender dysphoria, gender dysphoria, gender dysphoria, transgender",BBC - Information and Support: LGBT,Information and Support for those affected by issues about sexuality.,,,Information and Support for those affected by issues about sexuality.
https://www.bbc.co.uk/bitesize/articles/zdcgpg8,1,gender ,Why don’t we all like the same foods? - BBC Bitesize,"How genetics, your mum's diet and bad experiences can shape your tastes.",,,"How genetics, your mum's diet and bad experiences can shape your tastes."
https://www.bbc.co.uk/bitesize/topics/zk3dmbk/articles/zrw2p9q,3,"gender , gender , gender ",GCSE English Literature podcasts - An Inspector Calls - BBC Bitesize,Learn more about J. B. Priestley's An Inspector Calls in this GCSE podcast from BBC Bitesize. ,,,Learn more about J. B. Priestley's An Inspector Calls in this GCSE podcast from BBC Bitesize.
https://www.bbc.co.uk/bitesize/topics/zk3dmbk/articles/z229qyc,1,gender ,GCSE English Literature podcasts - Frankenstein - BBC Bitesize,Learn more about Frankenstein in this GCSE podcast from BBC Bitesize.  ,,,Learn more about Frankenstein in this GCSE podcast from BBC Bitesize.
https://www.bbc.co.uk/bitesize/topics/zk3dmbk/articles/zv4dmbk,2,"gender , gender ",GCSE English Literature podcasts - Blood Brothers - BBC Bitesize,Learn more about Willy Russell's Blood Brothers in this GCSE podcast from BBC Bitesize. ,,,Learn more about Willy Russell's Blood Brothers in this GCSE podcast from BBC Bitesize.
https://www.bbc.co.uk/bitesize/topics/zjc7h4j/articles/z4kbkhv,2,"gender , gender ","GCSE Science podcasts - Inheritance, variation and evolution  - BBC Bitesize","Learn more about inheritance, variation and evolution in this GCSE podcast from BBC Bitesize. ",,,"Learn more about inheritance, variation and evolution in this GCSE podcast from BBC Bitesize."
https://www.bbc.co.uk/news/topics/cpme77e6746t,1,gender ,Pay - BBC News,All the latest content about Pay from the BBC.,,,All the latest content about Pay from the BBC.
https://www.bbc.co.uk/news/business-66086450,1,gender ,Do you need a degree to work in tech?,Big tech firms like IBM are no longer asking for degrees when hiring staff.,,,Big tech firms like IBM are no longer asking for degrees when hiring staff.
https://www.bbc.co.uk/iplayer/episode/m0023998/in-my-own-words-series-1-jackie-kay,1,gender ,In My Own Words - Series 1: Jackie Kay,"One of Britain’s most loved poets, Jackie Kay, on how her powerful work draws from her life’s journey, considering race, gender and identity with tenderness and humour.",,,"One of Britain’s most loved poets, Jackie Kay, on how her powerful work draws from her life’s journey, considering race, gender and identity with tenderness and humour."
